RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
672,15000671,Cliente0672,517,Germany,Male,57,3,0.0,1,0,1,140583.98,0
673,15000672,Cliente0673,607,France,Female,44,2,0.0,2,0,0,147173.38,0
674,15000673,Cliente0674,650,Spain,Female,76,2,109996.64,2,1,1,190209.31,1
675,15000674,Cliente0675,625,France,Male,27,5,0.0,2,1,0,108562.0,0
676,15000675,Cliente0676,443,France,Female,76,4,116487.13,2,1,1,166861.72,1
677,15000676,Cliente0677,680,Germany,Female,64,1,0.0,1,1,1,165864.93,0
678,15000677,Cliente0678,647,France,Male,59,3,0.0,2,0,0,143299.02,0
679,15000678,Cliente0679,736,Spain,Male,44,10,64623.09,3,0,0,154855.96,0
680,15000679,Cliente0680,823,France,Male,32,7,86071.16,1,1,1,150250.66,0
681,15000680,Cliente0681,634,France,Female,46,3,141255.93,1,1,1,156123.27,1
682,15000681,Cliente0682,683,Germany,Female,58,10,140384.77,3,1,0,186162.66,1
683,15000682,Cliente0683,672,France,Female,61,2,32362.17,2,0,0,161582.27,0
684,15000683,Cliente0684,664,France,Male,39,8,0.0,1,0,1,134851.46,0
685,15000684,Cliente0685,638,France,Male,31,6,11796.84,1,1,0,141157.74,0
686,15000685,Cliente0686,683,Germany,Female,49,9,31126.96,2,1,1,183038.92,0
687,15000686,Cliente0687,746,France,Male,66,4,95897.39,1,1,1,198225.21,0
688,15000687,Cliente0688,578,France,Female,42,1,50289.75,2,0,1,138460.4,1
689,15000688,Cliente0689,812,France,Male,18,4,115162.62,2,0,1,173933.46,0
690,15000689,Cliente0690,693,Spain,Male,18,4,76648.7,2,1,0,114538.35,1
691,15000690,Cliente0691,676,France,Male,27,9,32835.59,1,0,0,123989.34,1
692,15000691,Cliente0692,459,Spain,Female,42,2,114499.91,1,1,0,122581.86,0
693,15000692,Cliente0693,649,Spain,Female,53,10,25809.86,1,0,1,145961.36,0
694,15000693,Cliente0694,567,Spain,Male,22,8,0.0,2,1,1,135409.22,0
695,15000694,Cliente0695,699,Germany,Male,37,6,104717.34,2,1,0,167033.11,1
696,15000695,Cliente0696,731,France,Female,76,3,113640.69,2,1,1,183761.37,0
697,15000696,Cliente0697,748,France,Male,44,3,195516.78,4,1,1,193781.92,0
698,15000697,Cliente0698,636,Germany,Female,35,2,63760.7,2,0,1,134043.48,0
699,15000698,Cliente0699,644,France,Male,37,2,0.0,3,1,1,138913.63,0
700,15000699,Cliente0700,687,Spain,Male,19,5,99765.64,2,0,0,131144.72,0
701,15000700,Cliente0701,472,Spain,Male,39,6,0.0,2,1,1,105321.21,1
702,15000701,Cliente0702,613,Spain,Female,44,8,0.0,2,0,0,144022.36,0
703,15000702,Cliente0703,604,France,Male,20,7,19036.42,2,1,1,140765.44,0
704,15000703,Cliente0704,694,France,Male,63,0,75685.13,2,1,0,165532.14,0
705,15000704,Cliente0705,611,Spain,Male,19,10,0.0,1,0,0,121366.76,0
706,15000705,Cliente0706,713,France,Male,78,3,38192.21,2,0,1,196309.76,0
707,15000706,Cliente0707,634,France,Female,42,2,119991.95,1,0,1,137757.12,0
708,15000707,Cliente0708,723,Spain,Female,43,3,43828.75,2,1,0,146407.63,0
709,15000708,Cliente0709,839,Germany,Male,32,0,0.0,2,1,1,149963.53,0
710,15000709,Cliente0710,782,Spain,Female,41,1,0.0,3,1,0,153804.22,0
711,15000710,Cliente0711,731,Spain,Male,31,1,96460.83,1,1,1,138122.12,0
712,15000711,Cliente0712,747,France,Female,23,2,151423.48,1,1,0,144219.69,1
713,15000712,Cliente0713,619,Germany,Female,23,8,0.0,1,1,1,118194.67,0
714,15000713,Cliente0714,584,Spain,Male,80,4,115009.61,3,0,0,184573.11,1
715,15000714,Cliente0715,578,France,Male,24,7,93189.56,3,1,1,143940.95,0
716,15000715,Cliente0716,667,Spain,Male,20,10,90965.93,2,0,0,139846.69,0
717,15000716,Cliente0717,775,Spain,Male,62,10,3577.3,1,1,1,187241.05,1
718,15000717,Cliente0718,588,Germany,Male,20,8,75028.95,2,1,1,128006.02,0
719,15000718,Cliente0719,690,France,Female,66,8,0.0,3,1,0,193663.2,0
720,15000719,Cliente0720,544,Germany,Male,18,6,0.0,1,1,1,100321.3,0
721,15000720,Cliente0721,547,France,Male,66,0,104598.21,2,1,0,147866.62,0
722,15000721,Cliente0722,723,Germany,Male,61,9,115859.08,2,1,0,186586.75,0
723,15000722,Cliente0723,592,Spain,Female,73,4,105741.38,1,0,0,191071.12,1
724,15000723,Cliente0724,589,France,Female,34,5,99087.34,1,1,1,139089.98,0
725,15000724,Cliente0725,818,France,Male,69,4,89790.74,1,1,0,183629.34,0
726,15000725,Cliente0726,656,Germany,Male,71,5,55664.03,1,1,1,188743.53,1
727,15000726,Cliente0727,646,Spain,Male,67,9,0.0,1,0,0,166669.72,1
728,15000727,Cliente0728,630,France,Male,65,9,64481.68,1,0,0,167663.92,0
729,15000728,Cliente0729,685,Germany,Female,67,1,0.0,1,1,0,140440.03,1
730,15000729,Cliente0730,590,France,Female,68,9,107273.58,4,0,0,171053.24,1
731,15000730,Cliente0731,655,France,Female,39,8,0.0,1,0,0,130933.68,0
732,15000731,Cliente0732,742,France,Female,28,6,78179.09,3,1,1,152218.0,0
733,15000732,Cliente0733,623,Germany,Male,38,1,97380.04,1,1,0,111557.52,1
734,15000733,Cliente0734,448,Germany,Female,61,2,0.0,1,1,1,146231.24,0
735,15000734,Cliente0735,594,Spain,Female,40,9,81711.7,2,1,1,161344.03,0
736,15000735,Cliente0736,715,Spain,Male,78,6,122238.24,1,0,1,216560.01,0
737,15000736,Cliente0737,745,France,Male,67,3,44141.4,2,1,0,166791.48,0
738,15000737,Cliente0738,681,France,Male,70,0,120344.3,3,0,1,194683.05,0
739,15000738,Cliente0739,771,France,Male,43,0,118632.35,1,0,1,170697.84,0
740,15000739,Cliente0740,562,France,Male,30,10,72728.84,1,1,0,116604.46,0
741,15000740,Cliente0741,759,Germany,Female,79,10,0.0,2,1,0,202473.75,1
742,15000741,Cliente0742,668,France,Female,21,4,34242.43,1,1,0,123819.0,0
743,15000742,Cliente0743,707,Germany,Female,69,6,94087.65,1,0,1,186758.63,1
744,15000743,Cliente0744,407,Germany,Female,49,7,60678.48,2,0,1,157662.58,1
745,15000744,Cliente0745,726,Spain,Male,59,0,0.0,2,1,1,170738.54,0
746,15000745,Cliente0746,670,France,Female,31,3,30117.14,2,1,0,128697.5,0
747,15000746,Cliente0747,812,Spain,Male,18,5,63562.96,1,1,0,120641.95,0
748,15000747,Cliente0748,666,Germany,Female,19,5,0.0,2,0,1,123613.82,0
749,15000748,Cliente0749,567,France,Female,47,2,111615.5,3,1,0,139241.8,0
750,15000749,Cliente0750,582,Germany,Female,28,10,115443.9,1,0,1,137266.97,0
751,15000750,Cliente0751,684,Germany,Male,58,10,111408.47,2,1,0,182275.86,0
752,15000751,Cliente0752,676,Germany,Female,41,9,109747.61,2,1,0,150937.51,0
753,15000752,Cliente0753,596,France,Female,22,8,95944.58,1,1,1,145041.3,0
754,15000753,Cliente0754,559,Germany,Female,60,6,92089.49,2,1,1,183664.89,0
755,15000754,Cliente0755,779,Germany,Male,79,0,115666.25,1,0,1,204419.56,0
756,15000755,Cliente0756,630,Germany,Male,28,10,85992.19,1,1,0,112181.58,0
757,15000756,Cliente0757,644,Spain,Female,63,2,98215.52,3,1,1,170992.65,0
758,15000757,Cliente0758,605,Germany,Female,31,5,70420.97,1,0,1,130743.68,0
759,15000758,Cliente0759,769,Spain,Female,77,4,143254.4,3,1,0,218202.04,1
760,15000759,Cliente0760,745,Spain,Male,29,7,0.0,2,1,0,145583.52,0
761,15000760,Cliente0761,563,Germany,Female,23,10,93506.66,2,1,0,105986.94,0
762,15000761,Cliente0762,643,France,Male,68,6,180763.38,1,1,0,194855.2,1
763,15000762,Cliente0763,572,France,Female,19,1,0.0,1,1,0,101408.09,0
764,15000763,Cliente0764,808,Spain,Female,31,6,118298.56,2,1,0,168511.05,0
765,15000764,Cliente0765,688,Germany,Female,33,8,46154.6,1,1,1,148785.26,0
766,15000765,Cliente0766,626,Germany,Male,25,2,0.0,1,1,1,103072.73,0
767,15000766,Cliente0767,621,Spain,Male,37,6,973.65,3,1,0,145677.97,0
768,15000767,Cliente0768,696,Germany,Female,71,0,0.0,1,0,0,146475.11,1
769,15000768,Cliente0769,629,Spain,Male,72,10,57416.99,1,1,0,183069.68,1
770,15000769,Cliente0770,781,Germany,Female,62,2,81787.0,1,1,1,177470.33,0
771,15000770,Cliente0771,571,France,Male,49,9,0.0,1,1,1,124050.73,0
772,15000771,Cliente0772,545,Germany,Male,26,4,103987.83,1,1,1,127229.69,0
773,15000772,Cliente0773,770,Germany,Female,22,3,109395.95,2,1,0,133217.15,0
774,15000773,Cliente0774,614,France,Male,36,1,91868.33,1,1,0,126252.22,1
775,15000774,Cliente0775,771,France,Female,53,9,0.0,1,1,0,158973.92,0
776,15000775,Cliente0776,725,France,Female,77,8,107678.97,1,1,0,203468.16,1
777,15000776,Cliente0777,535,France,Male,19,7,66305.89,2,1,0,120331.12,0
778,15000777,Cliente0778,598,France,Male,30,9,0.0,1,1,0,138610.61,0
779,15000778,Cliente0779,654,Germany,Female,60,9,0.0,1,0,0,139099.26,0
780,15000779,Cliente0780,631,France,Male,68,4,70397.23,1,0,0,164503.75,1
781,15000780,Cliente0781,676,France,Male,18,2,104512.28,2,0,0,122288.01,0
782,15000781,Cliente0782,598,France,Male,49,8,88598.97,1,0,0,155211.72,1
783,15000782,Cliente0783,643,Germany,Female,75,1,0.0,1,1,1,197031.99,0
784,15000783,Cliente0784,735,France,Male,67,9,0.0,1,0,0,169561.22,0
785,15000784,Cliente0785,763,Germany,Male,80,8,146568.56,1,1,1,217930.24,1
786,15000785,Cliente0786,583,France,Female,37,6,55094.56,2,1,0,138303.33,0
787,15000786,Cliente0787,630,Spain,Male,72,5,0.0,2,1,1,190672.64,0
788,15000787,Cliente0788,639,Spain,Male,43,10,0.0,3,1,0,165922.46,1
789,15000788,Cliente0789,535,Germany,Male,25,1,90083.5,1,1,1,92730.59,0
790,15000789,Cliente0790,730,France,Male,25,9,93030.5,1,1,1,165262.29,0
791,15000790,Cliente0791,698,France,Male,61,5,130773.02,1,0,0,158363.85,1
792,15000791,Cliente0792,694,France,Female,61,1,68977.9,1,0,1,165791.88,0
793,15000792,Cliente0793,641,France,Male,58,10,142635.46,2,0,1,188509.26,0
794,15000793,Cliente0794,724,France,Female,78,6,99006.72,1,1,0,204108.83,0
795,15000794,Cliente0795,732,Germany,Male,22,4,87189.49,1,0,1,134917.56,0
796,15000795,Cliente0796,749,France,Female,40,10,57336.77,1,1,0,145071.42,0
797,15000796,Cliente0797,636,France,Female,29,9,0.0,2,1,1,139300.14,0
798,15000797,Cliente0798,680,Spain,Male,42,8,0.0,1,1,1,134032.38,0
799,15000798,Cliente0799,617,Germany,Male,74,2,0.0,3,1,0,200001.98,1
800,15000799,Cliente0800,623,France,Female,64,2,35625.32,1,1,0,165498.03,0
801,15000800,Cliente0801,733,France,Male,39,8,111682.61,3,1,1,153469.3,0
802,15000801,Cliente0802,655,France,Female,60,7,57681.77,3,0,1,187294.63,0
803,15000802,Cliente0803,637,France,Male,65,4,87151.07,1,1,1,146413.47,1
804,15000803,Cliente0804,701,Spain,Female,66,4,109984.89,1,1,1,178656.08,1
805,15000804,Cliente0805,707,Spain,Female,76,2,85080.48,2,1,0,203082.93,1
806,15000805,Cliente0806,586,France,Male,27,2,51445.54,3,0,0,117020.8,0
807,15000806,Cliente0807,595,Germany,Male,51,8,115086.65,1,1,0,132165.73,0
808,15000807,Cliente0808,711,Spain,Male,70,8,49034.49,3,1,1,199654.28,0
809,15000808,Cliente0809,695,France,Male,52,7,0.0,1,1,1,140407.04,0
810,15000809,Cliente0810,632,Germany,Male,75,1,93441.18,2,0,1,188134.2,0
811,15000810,Cliente0811,752,France,Female,71,10,106460.76,3,0,1,220431.16,0
812,15000811,Cliente0812,642,France,Female,60,7,0.0,2,1,0,159671.39,0
813,15000812,Cliente0813,486,France,Female,79,6,0.0,1,0,0,150538.95,1
814,15000813,Cliente0814,582,Spain,Male,20,4,106353.02,1,1,0,114533.18,0
815,15000814,Cliente0815,525,France,Female,73,10,147017.25,2,1,1,182038.2,1
816,15000815,Cliente0816,747,France,Female,53,5,64572.66,1,1,0,155642.56,0
817,15000816,Cliente0817,693,France,Male,71,2,120367.48,1,0,1,181246.23,1
818,15000817,Cliente0818,660,Spain,Female,47,2,0.0,1,0,0,129794.93,0
819,15000818,Cliente0819,453,Spain,Female,18,0,118591.51,2,1,0,87956.26,0
820,15000819,Cliente0820,524,Spain,Female,77,4,0.0,1,1,1,158904.61,0
821,15000820,Cliente0821,637,France,Male,59,0,99095.96,2,1,1,175947.86,0
822,15000821,Cliente0822,499,France,Male,52,10,95619.59,3,1,0,153405.93,0
823,15000822,Cliente0823,730,France,Male,45,8,0.0,1,1,0,158296.03,0
824,15000823,Cliente0824,641,France,Female,47,7,117063.33,1,1,1,172287.42,1
825,15000824,Cliente0825,638,France,Female,31,7,98696.7,1,1,1,137917.82,0
826,15000825,Cliente0826,645,Germany,Male,47,9,84642.32,2,1,1,175436.49,1
827,15000826,Cliente0827,569,France,Female,72,9,76525.74,1,1,0,177455.43,0
828,15000827,Cliente0828,561,France,Female,35,9,0.0,1,0,1,114236.52,0
829,15000828,Cliente0829,489,France,Male,31,2,14842.56,1,0,0,94860.81,1
830,15000829,Cliente0830,652,France,Male,78,7,14100.03,2,1,0,201918.57,0
831,15000830,Cliente0831,685,Germany,Male,72,5,0.0,1,1,1,168860.35,1
832,15000831,Cliente0832,630,France,Male,59,1,0.0,3,1,0,151697.85,0
833,15000832,Cliente0833,626,France,Female,55,3,107351.39,1,1,1,170345.82,0
834,15000833,Cliente0834,570,Spain,Male,62,8,103209.17,1,1,0,162253.45,1
835,15000834,Cliente0835,671,Spain,Female,34,4,60937.08,1,1,0,140371.86,1
836,15000835,Cliente0836,442,Germany,Male,57,4,85817.33,1,1,1,126347.09,1
837,15000836,Cliente0837,556,Germany,Female,44,1,68442.0,2,1,0,155346.97,1
838,15000837,Cliente0838,594,Spain,Male,28,8,0.0,1,1,0,132535.55,0
839,15000838,Cliente0839,607,France,Female,25,5,93526.12,2,0,1,120104.12,0
840,15000839,Cliente0840,669,Spain,Male,61,5,96683.01,3,1,1,208892.82,1
841,15000840,Cliente0841,634,Spain,Male,51,9,126592.1,1,1,0,166812.39,1
842,15000841,Cliente0842,663,Germany,Male,30,1,132024.0,1,1,0,140123.46,0
843,15000842,Cliente0843,756,Germany,Male,23,4,0.0,1,1,1,113520.19,0
844,15000843,Cliente0844,767,Germany,Female,26,4,88881.43,1,1,0,119903.68,0
845,15000844,Cliente0845,705,France,Female,52,8,0.0,3,1,1,190446.07,0
846,15000845,Cliente0846,756,France,Male,45,1,0.0,2,1,0,154424.81,0
847,15000846,Cliente0847,797,Spain,Male,77,0,104014.91,2,1,0,184156.2,0
848,15000847,Cliente0848,681,Spain,Male,50,8,91545.02,2,1,1,177765.92,0
849,15000848,Cliente0849,531,Spain,Female,77,6,0.0,1,1,1,146921.3,0
850,15000849,Cliente0850,735,France,Female,52,5,94605.83,1,1,1,151018.31,0
851,15000850,Cliente0851,565,Spain,Male,53,2,98047.02,1,1,1,140642.5,0
852,15000851,Cliente0852,808,France,Male,77,10,134479.01,1,1,1,200008.23,1
853,15000852,Cliente0853,797,Spain,Male,21,10,76658.05,2,0,1,155520.38,0
854,15000853,Cliente0854,606,France,Female,40,1,118858.46,1,1,1,161652.93,0
855,15000854,Cliente0855,557,Spain,Male,28,2,117661.07,2,1,1,113956.93,0
856,15000855,Cliente0856,591,Spain,Female,63,4,42792.65,1,0,1,179616.11,0
857,15000856,Cliente0857,644,France,Male,54,7,101987.27,2,1,0,191025.13,1
858,15000857,Cliente0858,759,Spain,Male,37,1,0.0,2,0,1,165241.16,0
859,15000858,Cliente0859,545,Germany,Male,44,3,71411.42,2,1,0,133716.63,0
860,15000859,Cliente0860,725,France,Female,67,0,19375.06,3,1,1,213863.95,0
861,15000860,Cliente0861,474,Spain,Male,39,0,132983.58,2,1,0,128635.95,0
862,15000861,Cliente0862,753,Germany,Male,58,2,0.0,2,1,1,157877.93,0
863,15000862,Cliente0863,645,France,Female,61,1,98419.73,4,1,0,191111.36,1
864,15000863,Cliente0864,667,France,Female,45,0,0.0,2,0,1,151199.02,0
865,15000864,Cliente0865,641,France,Male,64,3,119306.51,2,1,1,183442.36,1
866,15000865,Cliente0866,730,France,Male,43,2,0.0,2,1,1,149606.24,0
867,15000866,Cliente0867,682,Spain,Male,62,4,55730.46,1,1,1,189323.28,0
868,15000867,Cliente0868,793,Spain,Female,46,6,75545.46,1,0,0,156030.94,0
869,15000868,Cliente0869,499,France,Female,44,10,3279.14,1,1,1,140332.31,0
870,15000869,Cliente0870,573,Germany,Male,53,4,19254.58,1,1,1,139872.29,0
871,15000870,Cliente0871,536,Spain,Female,30,9,0.0,1,1,1,113347.51,0
872,15000871,Cliente0872,711,France,Male,70,0,0.0,2,0,1,173362.91,1
873,15000872,Cliente0873,507,Spain,Male,74,1,0.0,3,0,1,156394.62,0
874,15000873,Cliente0874,850,Spain,Male,32,1,59777.09,1,1,1,162343.4,0
875,15000874,Cliente0875,658,Spain,Male,36,8,0.0,1,0,0,130037.68,1
876,15000875,Cliente0876,754,France,Male,37,0,119757.4,1,0,0,142889.53,0
877,15000876,Cliente0877,568,France,Female,71,4,0.0,2,1,1,153070.06,1
878,15000877,Cliente0878,667,Germany,Female,64,7,115416.58,3,1,1,199570.73,0
879,15000878,Cliente0879,703,Spain,Female,50,2,88545.56,4,1,1,173322.23,0
880,15000879,Cliente0880,590,France,Female,42,3,0.0,1,1,1,126967.68,0
881,15000880,Cliente0881,631,France,Male,69,5,0.0,1,1,1,145735.71,0
882,15000881,Cliente0882,782,Spain,Female,58,9,184651.21,1,0,0,207811.53,0
883,15000882,Cliente0883,758,Germany,Male,19,3,0.0,2,1,0,116445.52,0
884,15000883,Cliente0884,699,Germany,Male,80,4,0.0,1,1,1,191228.6,0
885,15000884,Cliente0885,818,Germany,Male,26,9,91326.06,2,0,1,153206.66,0
886,15000885,Cliente0886,485,Spain,Male,50,7,0.0,2,0,1,125998.53,1
887,15000886,Cliente0887,675,France,Female,63,3,79134.9,2,0,0,183961.68,0
888,15000887,Cliente0888,618,France,Female,71,7,0.0,2,1,1,165166.86,0
889,15000888,Cliente0889,771,Germany,Male,25,3,98033.07,1,1,0,122712.47,0
890,15000889,Cliente0890,744,France,Male,19,8,30211.66,2,1,0,111276.06,0
891,15000890,Cliente0891,749,France,Male,70,0,119969.29,2,1,0,199899.98,1
892,15000891,Cliente0892,599,Germany,Male,59,6,79207.6,1,0,0,156804.53,1
893,15000892,Cliente0893,698,Germany,Male,23,7,71390.23,2,1,0,139453.45,0
894,15000893,Cliente0894,742,Germany,Male,59,3,149094.87,2,1,1,195745.02,1
895,15000894,Cliente0895,760,France,Female,69,4,174413.73,1,0,0,191247.63,0
896,15000895,Cliente0896,571,Germany,Female,51,0,58974.67,1,1,1,135833.44,1
897,15000896,Cliente0897,592,Spain,Male,47,1,41579.96,1,1,1,145705.43,0
898,15000897,Cliente0898,671,Germany,Male,23,0,78260.06,2,1,0,134331.92,0
899,15000898,Cliente0899,769,Germany,Female,39,9,132793.35,1,1,1,163002.82,0
900,15000899,Cliente0900,703,France,Male,33,5,0.0,3,0,0,117874.64,0
901,15000900,Cliente0901,767,France,Male,35,1,104247.6,3,1,1,161184.51,0
902,15000901,Cliente0902,484,Spain,Female,55,9,78870.56,1,1,1,146774.61,1
903,15000902,Cliente0903,627,France,Male,26,3,29100.68,3,1,0,135142.68,0
904,15000903,Cliente0904,692,Germany,Female,20,2,0.0,1,0,0,125680.48,0
905,15000904,Cliente0905,673,France,Female,70,9,43206.32,1,0,1,177225.58,0
906,15000905,Cliente0906,489,Spain,Female,50,9,0.0,2,1,0,144355.11,0
907,15000906,Cliente0907,744,France,Male,64,10,105124.0,2,1,1,198028.05,0
908,15000907,Cliente0908,679,France,Male,52,3,61261.14,3,1,0,171604.9,0
909,15000908,Cliente0909,610,France,Male,37,8,92748.59,1,1,1,167427.58,0
910,15000909,Cliente0910,752,Spain,Female,80,10,102169.97,1,1,0,205757.29,1
911,15000910,Cliente0911,503,France,Female,64,6,0.0,3,1,1,160844.73,0
912,15000911,Cliente0912,607,France,Male,79,9,106337.88,2,1,1,206970.13,1
913,15000912,Cliente0913,725,Spain,Female,44,9,165943.89,1,1,0,173705.36,1
914,15000913,Cliente0914,682,France,Male,54,1,134846.34,2,1,1,180129.7,0
915,15000914,Cliente0915,631,France,Female,19,9,86338.82,1,1,1,117748.53,0
916,15000915,Cliente0916,637,France,Male,75,7,0.0,1,1,1,162584.67,1
917,15000916,Cliente0917,630,France,Female,40,6,92079.07,1,1,0,147661.33,1
918,15000917,Cliente0918,724,France,Female,56,9,0.0,2,1,1,132358.09,1
919,15000918,Cliente0919,624,France,Male,18,10,84495.26,2,1,0,114952.66,0
920,15000919,Cliente0920,708,Spain,Female,53,3,105742.04,1,1,1,165259.14,1
921,15000920,Cliente0921,473,France,Male,57,4,74972.62,3,1,0,172511.3,0
922,15000921,Cliente0922,755,France,Female,42,5,63856.47,2,1,1,163576.08,0
923,15000922,Cliente0923,850,Germany,Male,40,0,103706.55,3,0,1,165880.34,0
924,15000923,Cliente0924,692,Germany,Male,66,8,77426.33,2,1,0,196478.81,0
925,15000924,Cliente0925,643,France,Male,75,0,73416.24,3,1,1,210795.45,1
926,15000925,Cliente0926,605,France,Male,28,6,0.0,1,1,1,124567.25,0
927,15000926,Cliente0927,709,France,Male,76,10,0.0,3,1,1,192650.55,0
928,15000927,Cliente0928,595,Germany,Male,29,8,65989.99,3,0,0,150684.38,0
929,15000928,Cliente0929,580,France,Male,50,4,0.0,4,1,0,155545.24,0
930,15000929,Cliente0930,469,Spain,Male,59,1,0.0,1,1,1,121945.68,0
931,15000930,Cliente0931,671,Spain,Female,72,3,0.0,2,0,0,161248.92,1
932,15000931,Cliente0932,625,France,Male,64,10,34085.84,2,1,1,164205.61,0
933,15000932,Cliente0933,630,France,Female,79,3,119038.51,1,1,0,194345.64,1
934,15000933,Cliente0934,650,France,Male,23,1,0.0,1,1,1,110222.94,0
935,15000934,Cliente0935,590,Spain,Male,71,6,0.0,3,1,1,209144.88,0
936,15000935,Cliente0936,666,France,Male,80,3,130385.46,3,1,0,235608.5,1
937,15000936,Cliente0937,558,Spain,Male,20,1,41969.25,1,0,1,100011.18,0
938,15000937,Cliente0938,640,Germany,Female,67,7,100550.83,2,1,1,190760.04,1
939,15000938,Cliente0939,626,Spain,Male,18,7,0.0,1,1,1,121885.2,1
940,15000939,Cliente0940,505,France,Male,31,3,0.0,4,1,1,123956.35,0
941,15000940,Cliente0941,547,France,Male,40,6,52053.69,2,1,1,139335.3,0
942,15000941,Cliente0942,600,Germany,Female,66,10,96477.12,1,0,0,183097.96,0
943,15000942,Cliente0943,602,Spain,Male,55,3,0.0,2,0,0,132250.24,1
944,15000943,Cliente0944,672,France,Female,27,3,112589.15,1,1,0,117868.65,1
945,15000944,Cliente0945,616,France,Female,49,9,97975.25,1,1,0,162274.8,0
946,15000945,Cliente0946,646,France,Male,67,3,106923.25,1,0,0,184123.17,0
947,15000946,Cliente0947,615,France,Female,33,5,75225.77,1,1,1,133712.28,0
948,15000947,Cliente0948,430,Spain,Female,36,8,41584.07,2,1,1,127116.28,0
949,15000948,Cliente0949,640,France,Female,72,5,72082.08,4,1,0,186853.17,1
950,15000949,Cliente0950,578,France,Female,30,7,28816.17,2,1,0,136382.45,0
951,15000950,Cliente0951,636,France,Male,38,8,120480.63,2,1,1,153898.85,0
952,15000951,Cliente0952,585,France,Male,41,3,88942.46,2,1,1,133893.07,0
953,15000952,Cliente0953,706,France,Female,57,3,0.0,2,1,0,170155.33,0
954,15000953,Cliente0954,646,France,Female,54,0,0.0,1,1,1,135939.38,0
955,15000954,Cliente0955,710,Germany,Male,49,3,0.0,3,1,0,155830.23,0
956,15000955,Cliente0956,716,Spain,Female,54,4,0.0,3,1,1,142101.59,0
957,15000956,Cliente0957,602,France,Female,62,1,141172.25,2,1,1,189056.45,0
958,15000957,Cliente0958,719,France,Male,40,3,122891.18,2,1,1,166211.91,0
959,15000958,Cliente0959,669,Germany,Male,42,10,56073.09,1,1,1,171581.52,0
960,15000959,Cliente0960,560,Spain,Female,64,9,117031.03,3,1,1,206952.12,0
961,15000960,Cliente0961,640,Germany,Female,40,6,123881.31,1,1,1,148035.94,0
962,15000961,Cliente0962,658,France,Male,48,9,0.0,2,0,1,143264.92,1
963,15000962,Cliente0963,758,France,Female,26,3,0.0,2,1,1,126892.96,0
964,15000963,Cliente0964,620,Germany,Female,45,5,0.0,1,0,0,139161.32,1
965,15000964,Cliente0965,784,France,Female,73,7,49779.96,1,0,1,188325.0,0
966,15000965,Cliente0966,715,France,Male,60,10,0.0,2,1,1,175095.29,0
967,15000966,Cliente0967,470,Germany,Male,74,4,74521.17,1,1,0,166893.52,1
968,15000967,Cliente0968,562,Germany,Female,62,3,0.0,1,1,0,158459.34,0
969,15000968,Cliente0969,700,France,Male,53,5,113321.82,1,0,1,172496.96,0
970,15000969,Cliente0970,526,France,Female,79,6,60401.4,4,0,0,173871.96,1
971,15000970,Cliente0971,690,Germany,Male,76,4,0.0,3,0,1,189096.95,1
972,15000971,Cliente0972,768,Germany,Female,22,3,94171.86,1,1,1,130629.06,0
973,15000972,Cliente0973,627,Germany,Male,27,1,112735.81,2,0,1,134359.33,0
974,15000973,Cliente0974,770,Germany,Male,78,0,67761.83,1,1,1,191204.06,1
975,15000974,Cliente0975,763,France,Female,54,0,0.0,4,1,1,160843.27,0
976,15000975,Cliente0976,645,Spain,Male,31,1,192762.94,1,0,1,151934.2,1
977,15000976,Cliente0977,647,Spain,Male,71,4,0.0,1,1,0,135748.84,0
978,15000977,Cliente0978,665,Germany,Male,25,0,100891.46,1,1,1,142654.36,0
979,15000978,Cliente0979,688,Germany,Male,54,8,0.0,1,0,0,165194.13,1
980,15000979,Cliente0980,518,Germany,Female,59,1,137913.31,2,0,1,184013.73,1
981,15000980,Cliente0981,638,France,Female,19,10,119189.48,3,1,1,149780.14,0
982,15000981,Cliente0982,508,France,Female,33,10,0.0,1,1,1,141315.7,0
983,15000982,Cliente0983,621,France,Male,64,10,87687.57,2,0,0,184597.79,0
984,15000983,Cliente0984,631,France,Male,58,0,56622.78,3,0,1,174936.34,1
985,15000984,Cliente0985,496,Germany,Female,21,1,127923.78,1,0,1,89099.47,1
986,15000985,Cliente0986,543,Spain,Female,46,9,134948.0,1,1,1,136769.73,1
987,15000986,Cliente0987,616,Spain,Male,44,10,0.0,2,1,0,142324.87,0
988,15000987,Cliente0988,834,France,Female,79,9,76483.68,2,1,0,215526.27,1
989,15000988,Cliente0989,532,France,Male,56,10,92262.43,2,1,0,157444.99,1
990,15000989,Cliente0990,661,Germany,Female,66,5,106825.98,1,0,0,186246.48,1
991,15000990,Cliente0991,574,France,Female,33,3,68031.11,3,0,0,123871.49,1
992,15000991,Cliente0992,618,Spain,Female,46,5,122525.69,4,1,0,185459.82,0
993,15000992,Cliente0993,734,France,Female,64,2,75083.72,1,1,0,168144.8,1
994,15000993,Cliente0994,676,France,Female,60,7,107627.68,1,1,0,157095.31,0
995,15000994,Cliente0995,686,Spain,Female,30,10,56546.21,2,1,0,134760.45,0
996,15000995,Cliente0996,692,Spain,Female,20,2,0.0,2,0,1,125008.28,0
